first_name,phone,email
Ali,87011234567,ali@gmail.com
Aruzhan,87022345678,aruzhan@gmail.com
Dana,87033456789,dana@gmail.com
Nurlan,87044567890,nurlan@gmail.com
Aigerim,87055678901,aigerim@gmail.com
Dias,87066789012,dias@gmail.com
Madina,87077890123,madina@gmail.com
Rustam,87088901234,rustam@gmail.com
Asel,87099012345,asel@gmail.com
Miras,87010123456,miras@gmail.com
Amina,87021234567,amina@gmail.com
Bekzat,87032345678,bekzat@gmail.com
Kamila,87043456789,kamila@gmail.com
Yerlan,87054567890,yerlan@gmail.com
Indira,87065678901,indira@gmail.com
Sanzhar,87076789012,sanzhar@gmail.com
Zarina,87087890123,zarina@gmail.com
Alibek,87098901234,alibek@gmail.com
Malika,87019012345,malika@gmail.com
Timur,87020123456,timur@gmail.com
