first_name,surname,phone
Ali,Serikov,70000000001
Dana,Askarova,70000000002
Aruzhan,Nuraliyeva,70000000003
Nursultan,Kaliev,70000000004
Aigerim,Tulegenova,70000000005
Dias,Abdrahmanov,70000000006
Madina,Saparova,70000000007
Alikhan,Zhumabayev,70000000008
Kamila,Ermekova,70000000009
Yermek,Nurgaliyev,70000000010
Aruzhan,Beisenova,70000000011
Sanzhar,Iskakov,70000000012
Tomiris,Aitbayeva,70000000013
Adil,Kenzhebekov,70000000014
Zhanel,Musina,70000000015
Miras,Akhmetov,70000000016
Amina,Tolegenova,70000000017
Bekzat,Ryskulov,70000000018
Indira,Suleimenova,70000000019
Rustem,Abilov,70000000020
Madiyar,Orazbayev,70000000021
Assel,Zhakypova,70000000022
Daulet,Seidakhmetov,70000000023
Malika,Tasbulatova,70000000024
Nurdaulet,Yesenov,70000000025
Ainur,Karimova,70000000026
Eldar,Amirbekov,70000000027
Saltanat,Imanbayeva,70000000028
Azamat,Kusainov,70000000029
Zarina,Mukasheva,70000000030
